,actr,año_nac,conocido_por,que_hace,premios
7017,Nolan Brown,,'KETV of Omaha News at 10 PM',"Producer, Writer, Actor",0
7018,Nolan Gerard Funk,,"'The Flight Attendant', 'Partner Track', 'Counterpart', 'Awkward.'","Actor, Writer",5 wins & 5 nominations
7019,Nolan Hemmings,,"'Black Book', 'Pump Up the Volume', 'Band of Brothers', 'Napoleon and Josephine: A Love Story'",Actor,0
7020,Nonoka Baba,,'Haman',"Actor, Writer, Director",0
7021,Noora Härkönen,,"'Tellus', 'The Ark of the Witch', 'Selviytyjät Suomi', 'Vain elämää'",Actor,0
7022,Nora Shultz,,"'Lovebug', 'We'll Get Through This', 'DIEver', 'Golden'","Actor, Camera and Electrical Department, Writer",0
7023,Nora-Jane Noone,1984.0,"'The Descent', 'The Magdalene Sisters', 'Brooklyn', 'Doomsday'","Actress, Writer, Director",8 wins & 14 nominations
7024,Noriko Ohara,1935.0,"'Macross: Do You Remember Love?', 'The Poem of Wind and Trees', 'Super Dimension Fortress Macross', 'Doraemon: Nobita and the Winged Braves'",Actress,0
7025,Noriko Watanabe,,"'Hasta el último hombre Hacksaw Ridge', 'Memòries d'una geisha', 'Silencio', 'El poder del perro'",Actress,0
7026,Norkys Batista,1977.0,"'13 segundos', 'Amor a Palos', 'De todas maneras Rosa', 'Corazón Traicionado'","Actor, Music Department, Second Unit or Assistant Director",53 wins & 80 nominations
7027,Norm Coleman,1949.0,"'The Bogie Awards for Background Actors', 'Trepidation', 'U.N. Me', 'The Green Bus v. the White House'",Actor,0
7028,Norma Gloria,,"'El casado casa quiere', 'El pecado de quererte'",Actress,0
7029,Norma Herrera,1942.0,"'Fuego en el mar', 'Modelo antiguo', 'Las gemelas', 'El fiscal de hierro'",Actress,1 win
7030,Norma MacMillan,1921.0,"'Underdog', 'Head Over Heels', 'The Gumby Show', 'Big Business'",Actress,0
7031,Norma Michaels,1924.0,"'Easy A', 'You Don't Mess with the Zohan', 'Wedding Crashers', 'Bad Ass'",Actress,0
7032,Norman Eshley,1945.0,"'Warship', 'Man About the House', 'Department S', 'George and Mildred'","Actor, Writer, Casting Department",0
7033,Norman J. Warren,1942.0,"'Horrorplanet', 'Bloody New Year', 'Loving Feeling', 'Prey'","Director, Actor, Writer",1 nomination
7034,Norman MacCallum,,"'The Secret Agent', 'Inner Ghosts', 'Belmonte', 'Sol de Inverno'",Actress,0
7035,Norman Max Maxwell,,"'Raw Deal', 'Bad Boys', 'The Crow', 'U.S. Marshals'",Actress,0
7036,Norman McIsaac,,"'The Great Quake', 'The Protestant Revolution', 'Insight of Evil', 'On the Run'",Actress,0
7037,Norman Reedus,,"'The Walking Dead', 'The Boondock Saints', 'Blade II', 'The Boondock Saints II: All Saints Day'","Producer, Additional Crew, Director",0
7038,Normandy Vamos,,"'Las mágicas historias de Plim Plim', 'Brightheart'",Actress,0
7039,Nosa Obaseki,,"'Believe in You', 'Saving Dreams', 'Nerve Wreck', 'Ebomisi'","Actor, Producer",0
7040,Nova Eliza,1980.0,"'Aach... Aku Jatuh Cinta', 'Susahnya Jadi Perawan', 'Golden Goal!', 'Bajaj Bajuri the Movie'","Actress, Director, Writer",0
7041,Nova Gaver,,"'Regionrat', 'The Last Leaf', 'No Good Heroes', 'Lapse'","TV Series, 2021–, TV-MA, 27m",3 wins & 6 nominations
7042,Noy Marom,,"'A New York Moment', 'Goes Around', 'One More Time with Feeling', 'What Would Nova Do?'","Producer, Writer, Actor",0
7043,Nozha Khouadra,,"'Miel et cendres', 'Cheb', 'Sudor', 'Dos hermanos'",Actress,0
7044,Nubya Diaz,,'Doris',"Actress, Director",0
7045,Nuntawat Arsirapojcharnakul,,"'Monrak luktung', 'Hunch', 'Sayew', 'Ta-Kien'","Writer, Director, Camera and Electrical Department",0
7046,Nuo Lu,,'No hay datos sobre porqué es conocido',Actor,0
7047,Nuria Benet,,'Plaza Sésamo',"Actor, Producer, Additional Crew",2 wins
7048,Nurul Mukharomah,,"'Bunda, Kisah Cinta 2 Kodi', '13: The Haunted', 'Return of the Devil's Child'",Actress,0
7049,Obba Babatundé,1951.0,"'Life', 'How High', 'Dead Again', 'Black Dynamite'","Actor, Producer, Director",Nominated for 1 Primetime Emmy: 1 win & 4 nominations total
7050,Octavia Spencer,1970.0,"'Hidden Figures', 'The Help', 'Fruitvale Station', 'The Shack'",Actor,0
7051,Octavious Maximus,,"'Urban Cannibal Massacre', 'Pharisee', 'Few Options, All Bad', 'Rhyme Slaya'","Actress, Producer, Additional Crew",0
7052,Odette Laure,1917.0,"'Daddy Nostalgia', 'Quand on est deux', 'Emmenez-moi au théâtre', 'Holiday for Henrietta'","Actress, Producer, Writer",1 nomination
7053,O'Femi Familoye,,"'What If?', 'Love Is Enough', 'Dear Sister', 'Saboa'","Art Department, Production Designer",0
7054,Ofer Shechter,1981.0,"'Phobidilia', 'The Champion', 'Dead End', 'Shnot HaShmonim'",Actress,9 wins & 4 nominations
7055,Ogie Alcasid,1967.0,"'Ang panday', 'Bubble Gang', 'Dubai', 'Urduja'",Actor,0
7056,Oi Ling Chow,,'Girls in the Hood',"2005, PG, 1h 55m",Nominated for 1 Oscar: 15 wins & 52 nominations total
7057,Oiva Lohtander,,"'Raid', 'The Christmas Party', 'Puhtaaksikirjoittaja', 'Täällä Pohjantähden alla'",Actor,0
7058,Okan Bayülgen,1964.0,"'Agir Roman', 'Disko Krali', 'Kanal-i-zasyon', 'Gülüm'","Actress, Producer, Writer",6 wins & 28 nominations
7059,Oksana Osipova,,'Kikoriki',"Actress, Producer, Production Designer",0
7060,Olalla Moreno,1973.0,"'Business', 'El diari d'Anna Frank', 'Porca misèria', 'El Ministerio del Tiempo'",Actor,4 nominations
7061,Olívia Torres,,"'Grand Crew', 'Acapulco', 'Studio 666', 'What Drives Us'","Actress, Make-Up Department, Script and Continuity Department",0
7062,Oldrich Navrátil,1952.0,"'Jak svet prichází o básníky', 'Konec básníku v Cechách', 'Nemozná', 'Jak básníci neztrácejí nadeji'","Actor, Soundtrack",0
7063,Ole Puppe,1969.0,"'Zarah: Wilde Jahre', 'Einmal Bulle, immer Bulle', 'Abschnitt 40', 'Der Landarzt'",Actress,2 wins & 1 nomination
7064,Oleg Basilashvili,1934.0,"'Romance en la oficina', 'Maratón de otoño', 'El maestro y Margarita', 'Zagovor poslov'","Actor, Soundtrack",4 wins
7065,Oleg Bilik,,"'Detektor', 'Ierey-san. Ispoved samuraya', 'Puteshestvie s domashnimi zhivotnymi', 'Mertvye lastochki'",Actress,1 nomination
7066,Oleg Filipchik,1968.0,"'Detektor', 'Ay lav yu, Petrovich', 'Kvartirantka', 'Tretiy variant'","Actor, Director, Writer",1 nomination
7067,Oleg Primogenov,1955.0,"'ToyKhtoProyshovKrizVohon', 'Toloka', 'Ballada o bombere', 'Ballada o bombere'",Actor,1 nomination
7068,Oleg Zolotnitskiy,,"'Attack of the blue shark hedgehog', 'Dvor zhivikh mertvetsov', 'Electric Shark', 'Evil guest 2'",Actress,0
7069,Olga Lauppe,,'He',Actress,0
7070,Olga Makeeva,,"'Ikariya', 'Universe Zone', 'Naslediye', 'Vo veki vechnye'",Actress,0
7071,Olga Mashnaya,1964.0,"'Kin-dza-dza!', 'Vsyo naoborot', 'Odinokiy igrok', 'Milyy, dorogoy, lyubimyy, edinstvennyy...'","Actor, Editorial Department",9 wins & 13 nominations
7072,Olga Syahputra,1983.0,"'Taman Lawang', 'Skandal Cinta Babi Ngepet', 'Mas Suka Masukin Aja', 'Olga & Billy Lost in Singapore'","Actor, Producer, Writer",1 win & 4 nominations
7073,Olimpia Melinte,1986.0,"'Cannibal', 'It Takes Two to Fence', 'Bucharest Non Stop', 'Cel ales'",Actress,0
7074,Oliver Ackland,1979.0,"'Secret Bridesmaids' Business', 'The Slap', 'Bloom', 'The Originals'","Actress, Additional Crew",6 wins & 10 nominations
7075,Oliver Bootz,1971.0,"'En el lugar del crimen', 'Unter uns', 'S.O.S. Barracuda', 'Bei aller Liebe'","Actress, Producer, Director",Nominated for 2 Oscars: 19 wins & 55 nominations total
7076,Oliver Cantú Lozano,,"'The Devil's Tail', 'Cumbia callera', 'Morir en Martes', 'Marco & Luna'",Actor,0
7077,Oliver Graham,,"'Hollow', 'Old Man Dan', 'Piggies', 'Drive Me to the End'","Actor, Director, Producer",2 nominations
7078,Oliver Haden,,"'Blue Ice', 'Crocodile Shoes', 'London Bridge', 'The Bill: Target'","Actor, Composer",0
7079,Oliver Korittke,1968.0,"'Die Musterknaben', 'Miracle at St. Anna', 'Heldenfrühling', 'Das Jahr der ersten Küsse'","Actor, Art Department, Additional Crew",0
7080,Oliver Lopez,,"'From Beyond', 'Marduk: The Mark of the Beast', 'Svarta Madam'","Actress, Producer, Sound Department",0
7081,Oliver Maltman,1976.0,"'Another Year', 'Happy-Go-Lucky', 'Maleficent', 'Mr. Turner'","Actor, Director, Writer",1 win & 2 nominations
7082,Oliver Rice,,"'El baile de las luciérnagas', 'Riverdale', 'Altered Carbon', 'Historias de Chesapeake'",Actor,0
7083,Oliver Scherz,,"'Auf eine Zigarette', 'Boys on Film 2: In Too Deep', 'Cowboy', 'Tatort'","Sound Department, Actor, Soundtrack",0
7084,Olivia d'Abo,1969.0,"'Conan the Destroyer', 'Point of No Return', 'Star Wars: Episode IX - The Rise of Skywalker', 'Justice League: Doom'","Actress, Producer, Soundtrack",4 nominations
7085,Olivia Deeble,,"'More Than This', 'Carnage for Christmas', 'Secret Society of Second Born Royals', 'The Orchard'",Actress,0
7086,Olivia Gaskin,,'Facade',2011,1 nomination
7087,Olivia Gräser,,"'Kinder der Sonne', 'Summer Window', 'Unkraut im Paradies', 'Das Wartezimmer'","Producer, Director, Actor",2 wins
7088,Olivia Grace Applegate,,"'Euphoria', 'Dirty John', 'Song to Song', 'America's Got Talent'","Actress, Producer, Additional Crew",0
7089,Olivia Keane,,"'Bangin' Vengeance!', 'Hot Chicks Blast Uranus', 'Aswang: A Journey Into Myth', 'Vintage'",Actor,0
7090,Olivia Lisette,,'My Father Has a Choice',Actor,0
7091,Olivia Marei,,"'Hollywoodtürke', 'Stand Up', 'Cita a ciegas con la vida', 'Die Idee von Liebe'","Actor, Producer, Director",0
7092,Olivia Rex,,"'AR-15: Comando implacable', 'Federal de narcoticos Division Cobra', 'Tormenta de muerte', 'El coyote: Mente diabolica'",Actor,1 win
7093,Olivia Taylor,1985.0,"'The Magicians', 'Paranormal Activity: Dimensión fantasma', 'Transcendence', 'Exorcismo en el Vaticano'","Stunts, Actor, Additional Crew",0
7094,Olivia Tomkinson,,'Seen',Actor,0
7095,Olivia Wilde,1984.0,"'TRON: Legacy', 'Don't Worry Darling', 'The Incredible Burt Wonderstone', 'Cowboys & Aliens'","Actor, Sound Department, Writer",0
7096,Olivia Yan,1984.0,"'Exit No. 6', 'Missing Johnny', 'Kangxi lai le'",Actor,1 nomination
7097,Olivier Broche,,"'The Truth About Charlie', 'Darkest Hour', 'Chez Maupassant', 'La vie est à moi'",Actress,0
7098,Olivier Gouez,,"'Music Hole', 'Dibbuk'","Actor, Writer, Second Unit or Assistant Director",0
7099,Olivier Gourmet,,"'The Son', 'The Minister', 'Mesrine: Public Enemy No. 1', 'The Kid with a Bike'","Actress, Writer, Producer",0
7100,Olivier Luginbuhl,,'Jour blanc',Actor,1 nomination
7101,Omar Berdouni,1979.0,"'United 93', 'The Kingdom', 'Green Zone', 'Captain Phillips'","Actor, Producer, Production Manager",0
7102,Omar Calisaya,,'Chaco',Actress,0
7103,Omar Lotfi,1983.0,"'Casanegra', 'Life Zone', 'Mirages', 'Love in the Medina'","Actress, Additional Crew",0
7104,Omar Lozano,,"'Green Eyed Monster', 'Una buena vida', 'Texas Bloodbath Texas, Huele a Sangre', 'The Texas RailRoad Killer'","Actor, Producer",1 nomination
7105,Omar Muñoz,1995.0,"'La hora fría', 'El camino', 'Elsa & Fred', 'Amar es para siempre'",Actor,1 win
7106,Omono Okojie,,"'Gook', 'Legacies'","2023, R, 1h 40m",0
7107,Ondrej Vetchý,1962.0,"'Un mundo azul oscuro', 'Kolya', 'Vendeta', 'Dum pro dva'","Actor, Music Department, Soundtrack",5 nominations
7108,Oona Chaplin,1986.0,"'El viaje más largo', 'Juego de tronos', 'Quantum of Solace', 'El doble del diable'",Actor,1 nomination
7109,Ophélie Winter,1974.0,"'She', '2001: A Space Travesty', 'RRRrrrr!!!', 'My Wife Is an Actress'","Actor, Producer",1 win
7110,Orion Risk,,"'The Woe Land Saga, Chapter 1: ingrID', 'Roulette Girl', 'RED'",Actor,0
7111,Orla Brady,,"'The Foreigner', 'Fringe', 'Into the Badlands', 'Star Trek: Picard'","Actor, Stunts, Producer",0
7112,Orlando Seale,,"'Death on the Nile', 'Pride and Prejudice', 'Hamlet', 'The Old Guard'",Actor,0
7113,Ortrud Beginnen,1938.0,"'One or the Other', 'The Castle', 'Geierwally', 'Der Fluch'","Actress, Soundtrack",0
7114,Ory Niemann,,"'Dawn of the Living: The Last Zombie', 'Found Footage: The Lost Genre'",Actress,0
7115,Oscar Isaac,1979.0,"'Ex Machina', 'Inside Llewyn Davis', 'A Most Violent Year', 'Star Wars: Episode VIII - The Last Jedi'","Actor, Sound Department",0
7116,Oscar Nuñez,1958.0,"'The Proposal', 'The Office', 'Baywatch', 'The Lost City'","Actor, Writer, Producer",Nominated for 1 Primetime Emmy: 7 wins & 19 nominations total
7117,Oscar R. Sanchez,,"'Deprivation', 'The Suit, The Psycho and The Addict', 'Angel de la Muerte', 'Shadow Skull'",Actress,0
7118,Otto Waalkes,1948.0,"'Otto - Der Film', 'Otto - Der Liebesfilm', 'Socorro, he encogido a la profe', 'Ein neues Programm von und mit Otto Waalkes'","Actor, Writer, Director",13 wins & 2 nominations
7119,Oum' Dierryla,,"'Killing Car', 'Genealogies of a Crime', 'Elles ne pensent qu'à ça...', 'Saraka bô'",Actor,0
7120,Oumu Berthé,,'Skirt Power',"Producer, Director, Actress",2 wins & 1 nomination
7121,Owen Campbell,1994.0,"'X', 'Super Dark Times', 'As You Are', 'Mi corazón no late si no se lo dices'",Actr,0
7122,Owen Nelligan,,'Thrust of the Blade',Actor,0
7123,Owen Zamsky,,"'Boarding School', 'Famous Monsters'","Actor, Producer, Director",0
7124,Owiso Odera,1973.0,"'The Brothers Grimsby', 'The Thirst: Blood War', 'Blue Bloods', 'The Originals'",Actor,1 nomination
7125,Ozan Ozkirmizi,,"'ABCs of Death 2.5', 'M Is for Mobile'","Actress, Producer, Director",0
7126,P.J. Megaw,,"'Ninjas vs. Zombies', 'Ninjas vs. Monsters', 'Conquering the Rose', 'Super vs Evil'","Actress, Producer",2 wins
7127,P.J. Sosko,,"'Time After Time', 'The Last Thing Mary Saw', 'Red Dead Redemption II', 'New Amsterdam'",Actress,0
7128,P.K. Ewing,,"'Dark Waters', 'Maximum Velocity', 'Take Point Now: Heavy Weather Warriors', 'Submarines'",Actor,0
7129,Pär Ericson,1941.0,"'Sunes sommar', 'Labyrinten', 'Vasasagan', 'Mitt sanna jag'","Actor, Music Department",0
7130,Pål Fredrik Gundersen,,"'Solitær', 'Offeret'","Producer, Editor, Director",60 wins & 15 nominations
7131,Péter Nádori,,"'Rám csaj még nem volt ilyen hatással', 'Kisposta', 'Csokonai élet-játék', 'A közös kutya'",Actor,0
7132,Péter Reich,1967.0,"'En forelskelse', 'Adam's Apples', 'Zappa', 'Morten Korch - Ved stillebækken'",Actress,0
7133,Pablo Juin,,"'Necrofobia', 'Bailando por un sueño', 'Nunca es tarde'","Special Effects, Art Director, Production Designer",0
7134,Pablo Latapie,,"'30 días antes', 'Muñecos del destino', 'Socket', 'Encuentros'","2003, Not Rated, 1h 58m",0
7135,Pablo Rivero,1980.0,"'3 metros sobre el cielo', 'Cuéntame cómo pasó', 'Neckan', 'Villa tranquila'","Actor, Producer, Additional Crew",3 wins & 3 nominations
7136,Paco,,"'[REC]', 'Verónica', '[REC]³: Gènesi', '[REC]²'","Actor, Writer, Script and Continuity Department",0
7137,Paco Marín,1974.0,"'Periodistas', 'The Ministry of Time', 'Drug Squad: Costa del Sol', 'Ibiza Dream'",Actress,0
7138,Paco Saldaña,,"'El Mariachero, Serenata Mortal', 'Sangre De Rey', 'Que me entierren con la banda', 'Tres fronteras'","Actor, Writer, Director",1 nomination
7139,Paddy Considine,1973.0,"'Dead Man's Shoes', 'Bienvenidos al fin del mundo', 'En América', 'Redención Tyrannosaur'","Actress, Producer, Soundtrack",46 wins & 78 nominations
7140,Page Hannah,1964.0,"'Creepshow 2', 'Shag, ritmo en los talones', 'Fama', 'Lester el pícaro'","Actor, Producer, Writer",3 wins & 1 nomination
7141,Paget Brewster,1969.0,"'Criminal Minds', 'How I Met Your Father', 'Hollywood', 'Community'",Actor,0
7142,Paige Jones,1981.0,"'Dead & Nowhere', 'Famoso y seductor', 'For Love or Money'",Actress,0
7143,Paige Parsons,1956.0,'Overhaulin'',Actr,0
7144,Pak Fei,,'Kuhai',Actor,0
7145,Pal Sinn,,"'The Reincarnation of Golden Lotus', 'The Iceman Cometh', 'City Hunter', 'A Wedding or A Funeral'",Writer,0
7146,Pam Cook,,"'The Prom', 'Metal Gear Solid 4: Guns of the Patriots', 'Burn Notice', 'The Basement and the Kitchen'",Actress,0
7147,Pamela Chan,,"'Glee', 'Zoey 101', 'Southland', 'Unbound'","Actress, Soundtrack",6 wins & 2 nominations
7148,Pamela Gordon,1937.0,"'Weird Science', 'Poltergeist II: The Other Side', 'Bloodlust: Subspecies III', 'Chuck & Buck'","Actress, Director",0
7149,Pamela Hart,,"'Pi', 'Changing Lanes', 'The Proposition', 'The 4400'","Actor, Producer, Production Manager",0
7150,Pamela Ines,,"'Unexpected', 'Too Unexpected', 'Saturday the 14th', 'El Atracón'","Actress, Writer, Casting Department",0
7151,Pamela Johnson,,"'Luna de papel', 'Texasville', 'Paper Moon', 'Murder Was the Case: The Movie'","Actor, Soundtrack",7 wins & 6 nominations
7152,Pamela Rabe,1959.0,"'Wentworth', 'The Well', 'Sirens', 'The Hunting'","Actress, Soundtrack",5 wins & 11 nominations
7153,Pancho Moler,1976.0,"'3 from Hell', 'Candy Corn', '31', 'Til Death Do Us Part'","Actor, Director, Writer",7 wins & 3 nominations
7154,Panisara Rikulsurakan,,"'Deep', 'Doi Boy', 'Haunted Universities 2nd Semester', 'Don't Touch My Gang'","Actress, Composer, Set Decorator",0
7155,Panji Zoni,,"'Tarung Sarung', 'Madu Murni', 'Virgin'",Actor,0
7156,Pankaj Dheer,1956.0,"'Mahabharat', 'Muqadder', 'Ikke Pe Ikka', 'Randam Varavu'","Actor, Director, Writer",0
7157,Panos Sakellaropoulos,,"'I zoi enamisy hiliariko', 'Anastasia', 'Cavafy', 'Kalimera zoi'",Actress,0
7158,Paola Cortellesi,1973.0,"'Do You See Me?', 'Like a Cat on a Highway', 'Men Vs Women', 'Figli'","Actor, Director, Writer",0
7159,Paolo Bediones,1974.0,"'Sakaling hindi makarating', 'A Lotto Like Love', 'Captain Barbell', 'Buhay habangbuhay'","Actor, Director, Producer",5 wins & 13 nominations
7160,Paolo Corridore,1979.0,"'Versipellis', 'Narcissus', 'Casting', 'Il giro dell'horror'",Actress,4 wins & 1 nomination
7161,Paolo De Falco,,"'Via Appia', 'Leonardo', 'La sposa di San Paolo', 'Russicum'",Second Unit or Assistant Director,0
7162,Paolo Di Gialluca,,"'Exit: Una storia personale', 'Slow life', 'Demonium', 'The Italian Dream'",Actor,0
7163,Paolo Fornaroli,,'Palla al matt'',Actress,0
7164,Paolo Gasparini,,"'The Art of Racing in the Rain', 'War Machine', 'Il maresciallo Rocca', 'Lockdownlove.it'",Actor,0
7165,Paolo Maria Scalondro,1952.0,"'Suburra', 'The Card Player', '2019: After the Fall of New York', 'L'avvocato delle donne'","Actor, Additional Crew",1 win
7166,Paolo Migone,1956.0,"'Una sega, una valigia e tanto amore', 'Un paradiso senza biliardo', 'Kiss Me Lorena', 'Non c'è più niente da fare'",Actress,0
7167,Paolo Pierantognetti,,"'Palla al matt'', 'Albert von Schlieme e il Babau'","Actor, Director, Producer",0
7168,Paolo Pizzo,,"'Gladiator Games', 'Lip Dub Scherma', 'L'eredità', 'Cielo che gol!'",Actr,0
7169,Paolo Tonti,,"'Gladiator Games', 'Brentano', 'Claang the Origin'","Actor, Producer, Director",Won 1 Oscar: 70 wins & 188 nominations total
7170,Pardeep Cheema,,"'Warning 2', 'Kohrra', 'Junior', 'Yug the law of karma'",Actor,5 nominations
7171,Paresh Rawal,1955.0,"'Hera Pheri', 'Phir Hera Pheri', 'OMG: Oh My God!', 'Hungama'","Producer, Actor, Soundtrack",24 wins & 63 nominations
7172,Paris M. Woods,,"'Unexpected', 'Too Unexpected', 'Saturday the 14th'","Actor, Composer",0
7173,Paris Robin,,"'Annie Hall', 'Ryan's Hope', 'Beacon Hill', 'Sanctuary of Fear'","Actor, Director, Producer",0
7174,Paritosh Sand,,"'Special 26', 'Monsoon Wedding', 'Rockstar', 'Super 30'",Actor,0
7175,Park Hyeok,,'The Stars Are Shining',"Actor, Additional Crew",0
7176,Park Sang-wook,1976.0,"'Los últimos caballeros', 'Hilleo', 'Joong-cheon', 'Run-ning-maen'","Stunts, Actor",0
7177,Park Sung-woong,1973.0,"'New World', 'The Gifted Hands', 'Rugal', 'The Dude in Me'",Actor,8 wins & 9 nominations
7178,Parker Hajiaskari,1997.0,"'Life of Luxury', 'LuxuryDark', 'Strange Encounters'",Actor,0
7179,Parmeet Sethi,1961.0,"'Dilwale Dulhania Le Jayenge', 'Mission Majnu', 'Rustom', 'Badmaash Company'","Actor, Director, Writer",1 nomination
7180,Paromita Vohra,,"'Partners in Crime', 'Q2P', 'A Short Film About Time', 'El silencio del agua'",Actor,0
7181,Paruchuri Venkateswara Rao,,"'Ganesh', 'Kai Raja Kai', 'Sri Katna Leelalu', 'Parajaswamyam'",Actor,0
7182,Parul Kakria,,'Addi Tappaa',"Actress, Director, Writer",0
7183,Parvin Dabas,1974.0,"'Monsoon Wedding', 'Khosla Ka Ghosla!', 'My Name Is Khan', 'Sahi Dhandhe Galat Bande'","Actor, Director, Second Unit or Assistant Director",1 nomination
7184,Parviz Sayyad,,"'The Mission', 'Dead End', 'Checkpoint', 'Along the Night'","Actor, Additional Crew",0
7185,Pascal Elbé,1967.0,"'Turk's Head', 'Hear Me Out', 'Père et fils', 'Thank You for Calling'",Actress,1 win
7186,Pascal Légitimus,1959.0,"'Antilles sur Seine', 'Les trois frères, le retour', 'Mawie-Théwèze', 'Crimes en série'","Actor, Writer, Producer",1 win & 1 nomination
7187,Pascal Maetens,,"'Perverse Conclave', 'The Miracle of Life', 'Muil', 'Blue Dead Fish'",Actor,0
7188,Pascal Montsegur,,"'Killing Car', 'Intime conviction'",Actor,0
7189,Pascal Yen-Pfister,,"'American Horror Story', 'Outer Banks', 'Harlem', 'Ley y orden: Crimen organizado'",Actor,0
7190,Pascale Lemaire,,'Fishbowl',"Actress, Producer, Stunts",0
7191,Pat Carmichael,,"'A Noble Way', 'The Sisters of Mercy Manchester'","Actor, Writer, Director",1 nomination
7192,Pat James,,'No hay datos sobre porqué es conocido',"Actress, Producer",0
7193,Pat Morita,1932.0,"'Karate Kid El momento de la verdad', 'Karate Kid III: El desafío final', 'Karate Kid II... La historia continúa', 'El nuevo Karate Kid'","Actor, Writer, Producer",Nominated for 1 Oscar: 1 win & 5 nominations total
7194,Pat Slaber,,'Dead of Winter',Actress,0
7195,Patharawarin Timkul,,"'Bangkok Dangerous', 'The Player', 'Hong Neu Mangkorn', 'Body sob 19'",Actor,0
7196,Pato Margetic,,"'Out of the Box', 'Awake'","Camera and Electrical Department, Additional Crew",0
7197,Patrícia Meira,,"'O Vídeo', 'O Vídeo 2', 'Talentos Desconhecidos', 'Jurema'",Actress,0
7198,Patrícia Sequeira,1973.0,"'Jogo de Damas', 'Snu', 'Bem Bom', 'Terapia'","Actor, Director, Producer",4 wins & 2 nominations
7199,Patric James Callahan,,"'1969', 'MidLife Crisis', 'Amazing Grace'","Actor, Second Unit Director or Assistant Director, Production Designer",0
7200,Patricia Coleman,,"'Homicide: Life on the Street', 'Habit', 'The Fresh Prince of Bel-Air', 'L.A. Law'",Actor,0
7201,Patricia Crook,,"'Zombie Rage', 'Death Park: The Beginning', 'Like Father, Like Daughter', 'Trash Juice'",Location Management,0
7202,Patricia Drake,,"'John Tucker Must Die', 'Black Lagoon', 'The Sisterhood of the Traveling Pants', 'Saved!'","Actress, Producer, Casting Director",0
7203,Patricia Godinho,,"'Inner Ghosts', 'I Love It', 'Os Jogadores', 'Os Jogadores'","Actor, Producer, Additional Crew",0
7204,Patricia Llaca,1975.0,"'The Blue Room', 'El garabato', 'Al Borde', 'Casi divas'","Actress, Writer, Soundtrack",3 wins & 5 nominations
7205,Patricia Rodriguez,,"'Peter Pan', 'The Last Voyage of the Demeter', 'Stuart Little', 'Andor'",Actor,0
7206,Patricia Wolf,,"'14 Days in Paradise', 'Voces anónimas', 'Paisito', 'Andrés Calamaro: Flaca'",Actor,0
7207,Patricia Zertuche,,'Voces',"Actress, Additional Crew",0
7208,Patricio Castillo,1939.0,"'Stick It', 'Pecado original', 'Amores perros', 'Crónicas chilangas'","Actor, Composer, Soundtrack",2 wins & 1 nomination
7209,Patricio Diaz,,"'31 minutos', 'Estadio Nacional', 'Block!', 'Mi bella genio'",Actor,0
7210,Patrick Antonecchia,,"'Venial', 'Identity Crisis', 'Purification', 'Me Familia 2'","Actor, Music Department, Producer",0
7211,Patrick Baladi,1971.0,"'The international Diners a l'ombra', 'The Office', 'Rush', 'Ahora y siempre'",Actor,3 wins
7212,Patrick Bauchau,,"'L'habitació del pànic', 'Pretender', 'Carnivàle', 'Panorama per matar'",Actor,0
7213,Patrick Bedont,,'Caustic Zombies',Actress,0
7214,Patrick Bouchitey,1946.0,"'Lune froide', 'Lune froide', 'Auntie Danielle', 'Imposture'",Actress,0
7215,Patrick Catalifo,,"'Les bleus: premiers pas dans la police', 'Jean Moulin, une affaire française', 'Ne réveillez pas un flic qui dort', 'Les Lyonnais'",Actress,0
7216,Patrick Cullen,1952.0,"'SpongeBob SquarePants', 'The Terminator', 'Atlantis: The Lost Empire', 'Hercules'","Actor, Music Department, Camera and Electrical Department",0
7217,Patrick D. Green,,"'Escaping Freedom', 'First Cow', 'Crazy Right', 'The Brain That Wouldn't Die'",Actress,0
7218,Patrick Dempsey,1966.0,"'Grey's Anatomy', 'Can't Buy Me Love', 'Enchanted', 'Transformers: Dark of the Moon'","Actress, Additional Crew",0
7219,Patrick Descamps,1956.0,"'Escapando', 'Section Zéro', 'La memoria del asesino', 'Una aldea francesa'","Actor, Soundtrack",2 nominations
7220,Patrick Heusinger,1981.0,"'Jack Reacher: Never Go Back', 'Absentia', 'Frances Ha', 'Casual'","Actress, Producer",4 wins & 9 nominations
7221,Patrick Kilpatrick,,"'Minority Report', 'Llibertat per morir', 'El último hombre', 'Eraser Eliminador'","Director, Producer, Additional Crew",89 wins & 14 nominations
7222,Patrick L. Dear,1986.0,"'Furry Festivities', 'Eric the Conqueror', 'Feaster Sunday', 'Spookie Dookie'","Writer, Director, Producer",0
7223,Patrick Lawrey,,"'Search for Love Lost', 'Vampire Madness'","Actor, Producer",0
7224,Patrick Magee,1922.0,"'A Clockwork Orange', 'Zulu', 'Chariots of Fire', 'Barry Lyndon'",Actor,0
7225,Patrick Mcdonald,,"'Army of the Dead', 'Every [Blank] Ever', 'Smosh', 'Gods of Food'",Actress,0
7226,Patrick McMahon,,"'The Ward', 'A Nightmare on Elm Street', 'P2', 'Meet the Blacks'","Actor, Writer, Producer",0
7227,Patrick Micallef,,"'Square Peg', 'The Penalty King', 'Rabid Rage', 'Shades of Blue'",Actor,1 nomination
